MouseState { coords: (828, 540), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (883, 544), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (942, 544), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1001, 535), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1053, 517), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1095, 498), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1121, 481), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1129, 470), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1131, 460), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1127, 446), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1101, 426), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1056, 402), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (993, 375), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (920, 353), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (840, 338), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (761, 330), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (688, 330), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (630, 337), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (590, 360), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (564, 390), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (553, 428), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (553, 474), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (571, 531), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (607, 590), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (661, 651), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (737, 711), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (817, 754), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (890, 775), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (954, 788), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (997, 788), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1022, 787), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1034, 780), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1039, 771), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1039, 754), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1028, 724), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (997, 685), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (947, 635), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (881, 582), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (806, 529), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (722, 477), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (637, 434), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (561, 406), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (507, 390), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (481, 387), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (471, 390), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (468, 401), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (469, 420), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (492, 460), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (530, 502), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (577, 543), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (629, 580), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (675, 610), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (714, 631), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (740, 642), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (752, 645), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (753, 645), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (752, 640), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (734, 624), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (688, 592), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (618, 548), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (540, 504), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (452, 459), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (367, 418), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (304, 391), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (268, 378), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (267, 377), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (270, 377), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (293, 377), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (351, 383), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (433, 394), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (542, 412), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (663, 433), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (788, 456), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (909, 487), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1012, 514), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1077, 535), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1102, 546), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1102, 547), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1099, 547), button_pressed: [false, false, false, false, false, false] }
